,Snippet,Keyword,Assigned_Gender,Character_Name
95,"I was with this form of gentle persuasion. ""Kop 'old o' that,"" he said, and thrust a coin into the Chinaman's yellow paw. ""Keep me waitin' an' I'll pull the dam' shop down, Charlie. You can lay to it."" ""No hab got pipee--"" began the other. Smith raised his fist, and Yan capitulated. ""Allee lightee,"" he said. ""Full up--no loom. You come see."" He dived behind the dirty curtain, Smith and I following, and ran up a dark stair. The next moment I found myself in an atmosphere which was literally poisonous. It was all but unbreathable, being loaded with opium fumes. Never before had I experienced anything like it. Every breath was an effort. A tin oil-lamp on a box in the middle of the floor dimly illuminated the horrible place, about the walls of which ten or twelve bunks were ranged and all of them occupied. Most of the occupants were lying motionless, but one or two were squatting in their bunks noisily sucking at the little metal pipes. These had not yet attained to the opium-smoker's Nirvana. ""No loom--samee tella you,"" said Shen-Yan, complacently testing Smith's shilling with his yellow, decayed teeth. Smith walked to a corner and",opium,Unknown,Anonymous
5100,"your debtors, that you will not now stultify your own self-sacrifice by imposing upon us a heritage of remorse? If you are in such danger, why not remain here with us?” He did not answer for some moments; but he shook his head very slightly as he gazed down on us. “As to life,” he said presently, “my compact is with the senses. There is a higher ideal to reach to, no doubt; but _Mordi_! I confess, for myself I cannot feel the epicure and play the ascetic. To continue in love with virtue, one must take it only, like opium , in occasional doses. An habitual indulgence in it degrades the picturesqueness of its own early evoking. Perhaps it should be ethically grateful to me to remain here to contemplate the fruit of my generosity ripening for another’s picking. Perhaps the guillotine is awaiting me in Paris. Well, mademoiselle, of the two evils I prefer the latter. Here, to feed on my own self-righteousness would be to starve at the end of a day; there, the glory of doing, of directing, of enjoying, will soon woo me from memory of a sentiment that was no more part of my real",opium,Unknown,Anonymous
309,"in her coffee. My attention was attracted by the story of Annie about some ‘salt’ on the tray of cocoa which she took every night to Mrs. Inglethorp’s room. I accordingly secured a sample of that cocoa, and sent it to be analysed.” “But that had already been done by Dr. Bauerstein,” said Lawrence quickly. “Not exactly. The analyst was asked by him to report whether strychnine was, or was not, present. He did not have it tested, as I did, for a narcotic.” “For a narcotic?” “Yes. Here is the analyst’s report. Mrs. Cavendish administered a safe, but effectual, narcotic to both Mrs. Inglethorp and Mademoiselle Cynthia. And it is possible that she had a _mauvais quart d’heure_ in consequence! Imagine her feelings when her mother-in-law is suddenly taken ill and dies, and immediately after she hears the word ‘Poison’! She has believed that the sleeping draught she administered was perfectly harmless, but there is no doubt that for one terrible moment she must have feared that Mrs. Inglethorp’s death lay at her door. She is seized with panic, and under its influence she hurries downstairs, and quickly drops the coffee-cup and saucer used by Mademoiselle Cynthia into a large",narcotic,Male,Cavendish
1565,"our pursuers came clattering into the courtyard. That is all I remember.' “'Well, it is monstrously rum,' Charley said after a pause. 'Did you understand what the old fellow was singing about before he gave us the pipes?' “'Yes; I caught the general drift. It was an entreaty to Siva to give us some glimpse of futurity which might benefit us.' “We lit our cheroots and rode for some miles at a brisk canter without remark. When we were within a short distance of home we reined up. “'I feel ever so much better,' Charley said. 'We have got that opium out of our heads now. How do you account for it all, Harley?' “'I account for it in this way, Charley. The opium naturally had the effect of making us both dream, and as we took similar doses of the same mixture, under similar circumstances, it is scarcely extraordinary that it should have effected the same portion of the brain, and caused a certain similarity in our dreams. In all nightmares something terrible happens, or is on the point of happening; and so it was here. Not unnaturally in both our cases our thoughts turned to soldiers. If you remember,",opium,Male,Charley
2378,"chief of the brigands discovered that these new arrivals were none other than the white people who had given him and his men a superdrug and thereby mulcted them out of the sacred white elephant which was to have brought them a fortune. Unfortunately, the men of Kathlyn's party laid aside their weapons on approaching the cage to tear away the brush. Eight brigands, at a sign from their chief, surrounded the investigators, who found themselves nicely caught. The natives fled incontinently. So did Bala Khan's camel men. ""Death if you move!"" snarled the chief. ""Ah, you gave us bad opium , and we dropped like logs! Swine!"" He raised his rifle threateningly. ""Wait a minute,"" said Bruce coolly. ""What you want is money."" ""Ay, money! Ten thousand rupees!"" ""It shall be given you if you let us go. You will conduct us over the hills to the sea, and there the money will be given you."" The chief laughed long and loudly. ""What! Am I a goat to put my head inside the tiger's jaws? Nay, I shall hold you here for ransom. Let them bring gold. Now, take hold,"" indicating the trap cage. ""We shall take this fine man",opium,Male,Bruce
2435,"almost cruelly saturnine. Yet he murmured under his breath:-- ""'All thoughts, all passions, all delights, Whatever stirs this mortal frame; Are but the ministers of Love, And feed his sacred flame!'"" ""What's that?"" she asked quickly. ""Poetry!"" he answered, ""by a man named Coleridge. He is dead now. He used to take opium, and he did not understand business matters. He was never rich in anything but thoughts."" She smiled brilliantly. ""How silly!"" she said. ""Yes, he was very silly,"" agreed Helmsley, watching her narrowly from under his half-closed eyelids. ""But most thinkers are silly, even when they don't take opium . They believe in Love."" She coloured. She caught the sarcastic inflection in his tone. But she was silent. ""Most men who have lived and worked and suffered,"" he went on, ""come to know before they die that without a great and true love in their lives, their work is wasted, and their sufferings are in vain. But there are exceptions, of course. Some get on very well without love at all, and perhaps these are the most fortunate."" ""I am sure they are!"" she said decisively. He picked up two or three of the rose-petals her restless fingers had",opium,Male,Coleridge
3575,"would say two things, Sir Thomas. First of all, that no fine matters; and secondly, that I shouldn't in the least mind doing six months if necessary. This great game is worth more than that. But secondly, and you may really put your mind at ease, we shall _not_ be found out. I have worked the thing out to a hair's breadth and my system is so complete that discovery is utterly impossible."" ""I oughtn't to let you risk it, though of course I shall share equally if anything happens."" He disregarded this entirely. ""But the stuff,"" I said, ""the opium itself, how will you get that?"" ""I have made my plans here also. I shall have to pay a price so enormous that I'm afraid it will stagger you, Sir Thomas, but it's the only way in which I can get hold of the right stuff. For what it is intrinsically worth, about sixty pounds sterling, your east-end dealer will pay four-hundred pounds, and make a big profit on it. I shall have to pay nearly a thousand and I shall want double that money--two thousand pounds."" He stared at me in anxiety. ""My dear Rolston,"" I said, ""cheer up.",opium,Male,Thomas
2943,"story, and determined to witness for myself the scenes you had observed. Settle it for once and all in your mind. I was troubled with no superstitious fears upon the matter. I guessed the truth."" Hervey broke off, but resumed quickly. ""That evening I returned to the graveyard surreptitiously, and took up a position in the black shelter of the surrounding woods. I saw all you saw. But the robed figures were not the ghosts which you thought them to be; they were Chinese, carrying their boxes and bundles of personal luggage, and, I have no doubt, a cargo of opium . Then I understood that the graveyard was honeycombed with cellars, and that this place formed the central depôt of Iredale's traffic and his distributing station. I can understand how these 'yellow-devils' are distributed by means of loaded hayracks and such things. The point I have not fathomed is the means by which the 'goods' are brought into the country. I suggest the only means I can think of as being almost without risk, and that is the lake."" Hervey paused to watch the effect of his story. Prudence gave no sign. She no longer looked at her companion, but",opium,Male,Anonymous
4689,"the matter over coldly and with deliberation, he regretted that he had not been able to hear the shameful suggestions of Godovius on the evening of the rains; for if he had heard him he would assuredly have shot him where he stood, and the world would have been rid of another wild animal, as savage as any beast in the bush but without any redeeming dower of beauty. He would have shot him. There would have been another murder to his account. But this time he would not have needed to change his name, to lie hidden in an opium house or ship furtively under a strange flag. No . . . the matter would have been far simpler. He would have stepped out into the bush a free man, and then the vastness of Central Africa would have swallowed him up, him and his name. He would have trekked to recesses where no European could have found him. He would simply have disappeared. Perhaps he would have lived for many years: the M‘Craes were a long-lived race. Perhaps he would have died soon and in violence: it would have made no difference. The life which he would have led",opium,Male,bush
981,"The regulations had also been improved under his auspices. The entrance fee was imperceptibly raised, while the conditions of entry were relaxed. It was his lady's idea originally. She made it clear that the more numerous the members the greater the quantity of whisky consumed--the greater, therefore, their profits; quite apart from the possibility of additional subscriptions being paid. He agreed. Then, in a sudden glow of commercial enthusiasm, he proceeded to hint that ladies should also be admitted. Regretfully she put her foot down. Anywhere else the proposal would have been welcome. It was out of the question on Nepenthe . ""You're forgetting that Wilberforce woman,"" she said. ""She would have to be carried home every night. It couldn't be done, Freddy. We might as well shut up the shop at once. People would get talking about the place--you know how they talk, as it is."" Miss Wilberforce was a pathetic local figure, a lady by birth, with a ready tongue, wiry limbs, and an insatiable craving for alcohol. She would unavoidably have damaged the reputation of the place, to say nothing of its furniture. She had gone from bad to worse lately. ""Perhaps you're right, Lola. It isn't worth",nepenthe,Unknown (Proper Noun),Anonymous
5157,"Quentin arrives, takes charge of the curry, _and gives Mr. Paynter an injection_--of strychnine, he says, but really of yellow jasmine--a poisonous dose. When the drug begins to take effect, he departs, after unlatching the window. Then, in the night, he returns by the window, finds the manuscript, and shoves Mr. Paynter into the fire. He does not heed the newspaper that drops to the floor and is covered by the old man's body. Paynter knew what drug he had been given, and strove to accuse the Big Four of his murder. It is easy for Quentin to mix powdered opium with the curry before handing it over to be analysed. He gives his version of the conversation with the old man, and mentions the strychnine injection casually, in case the mark of the hypodermic needle is noticed. Suspicion at once is divided between accident and the guilt of Ah Ling owing to the poison in the curry."" ""But Dr. Quentin cannot be Number Four?"" ""I fancy he can. There is undoubtedly a real Dr. Quentin who is probably abroad somewhere. Number Four has simply masqueraded as him for a short time. The arrangements with Dr. Bolitho were all carried out",opium,Male,Quentin
5313,"not know, that all-important fact, which would have meant so much to Denzil and his aunt, that there had been two suicides, and not only one. And Comrade Dawkes was not one to court publicity. If the crew of the _George Barnes_ had but known the story of the girl who dropped out of the window! But they did not know it. So in London the police searched, and Denzil advertised, and Levy and Rankin Leigh waited for the upshot of it all. But nothing happened. No body was discovered in the Thames; no young man under the influence of laudanum was to be found in any police-station or hospital. The invitations for the house-party at Normansgrave were not dispatched. The Squire retired in bitterness of spirit to his study, where he sat up half the night, and departed to London next morning by an early train. And down in the cottage hospital at Aylfleet lay Veronica Leigh, for two days delirious, for two or three days more weak and hardly conscious; and then, again, for some days slowly gaining strength and grip on life. An interest in her recovery and in hearing reports of her progress was the only thing",laudanum,Male,Rankin Leigh
4071,"set forth in Sir Walter Raleigh-like language ringing with at least the assurance of its own stateliness and power:-- ""O just, subtle, and all-conquering opium! that to the hearts of rich and poor alike, for the wounds that will never heal and for the pangs of grief that 'tempt the spirit to rebel,' bringest an assuaging balm:--eloquent opium! that with thy potent rhetoric stealest away the purposes of wrath, pleadest effectually for relenting pity, and through one night's heavenly sleep callest back to the guilty man the visions of his infancy, and hands washed pure from blood;--O just and righteous opium ! that to the chancery of dreams summonest for the triumphs of despairing innocence false witnesses, confoundest perjury, and dost reverse the sentences of unrighteous judges; then buildest upon the bosom of darkness, out of the fantastic imagery of the brain, cities and temples, beyond the art of Phidias and Praxiteles--beyond the splendours of Babylon and Hekatòmpylos; and, 'from the anarchy of dreaming sleep' cullest into sunny light the faces of long-buried beauties, and the blessed household countenances, cleansed from the 'dishonours of the grave.' Thou only givest those gifts to man; and thou hast the keys to Paradise, O",opium,Male,Walter Raleigh
4002,"1816 that Coleridge took refuge from himself and the world and came to the Gillmans of Highgate, and became the great lay preacher of his time. Before this he had been staying at 42, Norfolk Street, Strand, and consulting a physician, Dr. Joseph Adams, who recommended him to Mr. Gillman. The letter of Dr. Adams to Mr. Gillman is as follows: Hatton Garden, April 9, 1816. Dear Sir. A very learned, but in one respect an unfortunate gentleman, has applied to me on a singular occasion. He has for several years been in the habit of taking large quantities of opium . For some time past he has been in vain endeavouring to break himself of it. It is apprehended his friends are not firm enough, from a dread, lest he should suffer by suddenly leaving it off, though he is conscious of the contrary; and has proposed to me to submit himself to any regimen, however severe. With this view he wishes to fix himself in the house of some medical gentleman, who will have courage to refuse him any laudanum, and under whose assistance, should he be the worse for it, he may be relieved. As he is desirous",opium,Male,Hatton Garden
4428,"guard him better. I know a place, a farmhouse, near Villiers-St.-Jacques, where we can get board. He has a little income, which reaches him every three months from England. Oh, very little, but if I am careful of it, it will pay our way. And then—I will make him work.” “Oh, no,” I protested. “You’re not going to leave the Quarter.” And I’m ashamed to acknowledge, I laboured hard to dissuade her. “Think how we’ll miss you. Think how you’ll bore yourself. And anyhow, he’s not worth it. And besides, you won’t succeed. A man who has an appetite for opium will get it, coûte que coûte. He’d walk twenty miles in bare feet to get it.” This was the argument that I repeated in a dozen different paraphrases. You see, I hadn’t realised yet that it didn’t matter an atom whether she succeeded, or whether he was worth it. He was a mere instrument in the hands of Providence. Let her succeed or let her fail in keeping him from opium: the important thing... how shall I put it? This little Undine had risen out of the black waters of the Latin Quarter, and attached herself to a mortal. What",opium,Male,Undine
